[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:16] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] A
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
[09:17:17] Left Button
