[20:49:25] Left Button
[20:49:25] Left Button x2
[20:49:25] Left Button x2
[20:49:25] Left Button x2
[20:49:25] Left Button x2
[20:49:25] Left Button x2
[20:49:25] Left Button x2
[20:49:25] Left Button x2
[20:49:25] Left Button x2
[20:49:25] Left Button x2
[20:49:25] Left Button x2
[20:49:25] Left Button x2
[20:49:25] Left Button x2
[20:49:25] Left Button x2
[20:49:25] Left Button x2
[20:49:25] Left Button x2
[20:49:25] Left Button x2
[20:49:25] Left Button x2
[20:49:25] Left Button x2
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:25] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
[20:49:26] Left Button x3
